"COMPOUND","TAG_R_spearman","TAG_p","TAG_adj","sig_TAG"
"Riboflavin",-0.33056654705044,7.05416234302234e-05,0.000343426324594509,"SIG"
"Linoleic Acid",-0.32994988511288,7.29075250275192e-05,0.000345843387951053,"SIG"
"Imidazoleacetic Acid",0.329304177504347,7.54642757574873e-05,0.000349022275378379,"SIG"
"L-Kynurenine",0.32642418751335,8.79226584430692e-05,0.0003967241905358,"SIG"
"Palmitic Acid",-0.325349497687384,9.30452305384225e-05,0.000409842086895433,"SIG"
"N6-Trimethyllysine",0.324319493509068,9.8215233638127e-05,0.000422553912164035,"SIG"
"Threonine",-0.322646016004602,0.000107190493705456,0.000450687303079756,"SIG"
"S-Adenosylmethionine (SAM)",0.319821883073166,0.00012409267100627,0.000510158758581332,"SIG"
"Indole-3-Carboxylic Acid",-0.315804643349495,0.00015244926846873,0.000613111188406848,"SIG"
"Biopterin",-0.312623025236865,0.000179070248510244,0.00070427273759836,"SIG"
"L-2-Aminobutyric Acid",0.31194827195736,0.000185245161359607,0.00070427273759836,"SIG"
"Ergocalciferol",-0.311809746449647,0.000186537103471998,0.00070427273759836,"SIG"
"Hydrocinnamic Acid",-0.308896242222913,0.000215728111987849,0.000798194014355042,"SIG"
"Homoarginine",0.307738883948797,0.000228459247761018,0.00082872472227036,"SIG"
"Cysteinyl-Glycine (Cys-Gly)",0.307077536363587,0.000236043796206528,0.000839771198042456,"SIG"
"Putrescine",0.306389377389788,0.000244183386083765,0.000852338234443331,"SIG"
"Glutamine",0.300090935353619,0.000331748499264863,0.00113654578451851,"SIG"
"Pantothenate",-0.292883140387788,0.000467165064745532,0.00152463690577018,"SIG"
"cAMP",0.292851860434433,0.000467850512037447,0.00152463690577018,"SIG"
"Pyruvate",0.292621729349039,0.000472922042811592,0.00152463690577018,"SIG"
"cGMP",0.292393832546028,0.000477994273160382,0.00152463690577018,"SIG"
"Valine",-0.291185085777114,0.000505746053494516,0.0015858138965506,"SIG"
"Glucose",0.286061876274122,0.000640658088470812,0.00197536243945167,"SIG"
"Histamine",-0.281023569501664,0.000804925355170815,0.00244116706076395,"SIG"
"Tyrosine",-0.278364773466531,0.000906420725551401,0.00269066534686613,"SIG"
"Indole-2-Carboxylic Acid",-0.278121236686842,0.000916280631635492,0.00269066534686613,"SIG"
"Sedoheptulose 7-Phosphate",0.27617964529648,0.000998474535352742,0.00288621545375402,"SIG"
"FAD",-0.273181238339213,0.00113874150516556,0.00322002080295604,"SIG"
"Ethanolamine",-0.272980152924791,0.00114876417835189,0.00322002080295604,"SIG"
"Cystathionine",-0.271947914464092,0.00120149492906296,0.00331756062502459,"SIG"
"Deoxycarnitine",0.270039837309467,0.00130482653876603,0.0035498957304664,"SIG"
"Xanthurenic Acid",0.267669263701672,0.00144448085623541,0.00387288345512393,"SIG"
"Myristic Acid",-0.263517967035052,0.00172224546521216,0.0045239195112583,"SIG"
"Aspartic Acid",-0.26332581875016,0.001736206947564,0.0045239195112583,"SIG"
"Margaric Acid",-0.261245701852085,0.00189407367217049,0.00486671707432696,"SIG"
"Alanine",-0.260640211326437,0.00194241606029297,0.00492256124868767,"SIG"
"2-Hydroxyphenylacetate",-0.258647231441279,0.00210955339083784,0.00527388347709459,"SIG"
"S-Methylcysteine",-0.255630950224951,0.00238740403848206,0.00588892996158908,"SIG"
"6-Methyladenosine",-0.254844482826324,0.00246510003550404,0.00600057245484537,"SIG"
"Retinol",-0.254469123386069,0.00250298280773165,0.00601365999260203,"SIG"
"Alpha-Ketoglutaric Acid",0.249761490406216,0.00302490383722832,0.00717445140881075,"SIG"
"Glucoronate",-0.249115782797684,0.00310367711759418,0.00726810464246738,"SIG"
"Acetylcarnitine",0.246709460671769,0.00341379015935712,0.00787620277578103,"SIG"
"Methionine",0.246452518197786,0.00344849959372034,0.00787620277578103,"SIG"
"betaAlanine",0.246063753063237,0.00350162063789249,0.00789988673973541,"SIG"
"Ribulose 5-Phosphate",0.245755422094457,0.00354427351025967,0.00789988673973541,"SIG"
"3-Hydroxypropionic Acid",0.239356437351077,0.00454171073742254,0.0100025772193235,"NS"
"Glutaric Acid",-0.238509644328123,0.00469101447524846,0.0102098550343643,"NS"
"Dimethylglycine",-0.238134284887869,0.00475859099147678,0.010236503877014,"NS"
"Uracil",-0.237765628294762,0.0048258075898509,0.0102617747600278,"NS"
"Lysine",0.234887872586148,0.00538038974739244,0.0113110466280409,"NS"
"Ornithine",0.232608904556033,0.00585924115220185,0.0121793214961499,"NS"
"Carnosine",0.230951067028244,0.00623108674906184,0.0128083449841827,"NS"
"Azelaic Acid",-0.230043948380964,0.00644331958549146,0.0130990563001749,"NS"
"Spermidine",0.225072670079979,0.00772462742970264,0.0155332182010325,"NS"
"Suberic Acid",-0.223609215119465,0.00814256776542755,0.0161975810387537,"NS"
"Adipic Acid / 3-Methylglutaric Acid",-0.221960314721206,0.00863734328378173,0.0169990266755279,"NS"
"Anthranilic Acid",0.215967969371435,0.0106664639130904,0.0207715349886497,"NS"
"NADH",-0.214553668623335,0.0112025429583029,0.0215882338258962,"NS"
"SAH",0.213365030395864,0.0116712426487867,0.0222595864951086,"NS"
"Lactose/Trehalose",-0.212866785424574,0.0118727708963953,0.0224128838350319,"NS"
"Ribose-5-P",0.212437803207141,0.0120487222518718,0.0225152890565281,"NS"
"o-Phosphoethanolamine",-0.210523023205368,0.0128622555064776,0.0237951726869835,"NS"
"Uridine",0.207421839258507,0.0142819704562586,0.0261600448951271,"NS"
"N2,N2-Dimethylguanosine",0.199943696124397,0.0182800794774441,0.0331550461110505,"NS"
"N-Ac-Arginine",-0.194829423750935,0.0215428615938135,0.0386934892704417,"NS"
"3HBA",-0.18880579844781,0.0260177874917027,0.0462816412112019,"NS"
"Cytidine",-0.186687698749233,0.0277697766761118,0.0488420455034955,"NS"
"UMP",-0.186435224840015,0.027985172018219,0.0488420455034955,"NS"
"4-Pyridoxic Acid",-0.183532892025193,0.0305652950508939,0.0528465381721063,"NS"
"Carnitine",0.180139017086229,0.0338360208629276,0.0579598505522372,"NS"
"N-Acetyl-Aspartate (NAA)",-0.175442555518288,0.0388464240525258,0.0659320041258466,"NS"
"Phenylalanine",-0.173357970055448,0.0412624192639532,0.0693958869439212,"NS"
"N-Ac-Phenylalanine",-0.168737474088511,0.0470685435787919,0.0784475726313198,"NS"
"AMP",0.165864186944661,0.0510106930727074,0.0842587340933113,"NS"
"Adenosine",-0.165091125240328,0.0521168221141154,0.0853240008062952,"NS"
"Citraconic Acid",-0.163582984632164,0.054331858582681,0.0881701213841753,"NS"
"Nicotinic Acid",-0.161087291210951,0.0581676245668883,0.0935740047380377,"NS"
"UDP-GlcNAc",0.160164532586993,0.0596410536102878,0.0951171975681313,"NS"
"2-Aminoisobutyric Acid",-0.158368169551491,0.0625972542173097,0.0989785643607034,"NS"
"Adenine",-0.157311353984585,0.0643916954962847,0.100953081922141,"NS"
"5,6-Dihydrouracil",0.155213362827451,0.0680784523318548,0.105836249423472,"NS"
"Citrulline",-0.152550098227553,0.0730039102523586,0.112547694972386,"NS"
"Tryptophan",-0.150928009217883,0.0761425196710022,0.116416249083764,"NS"
"Succinate",-0.150134838972108,0.0777163909764681,0.117848625661038,"NS"
"IMP",0.147547539973214,0.0830332289232848,0.124887376835835,"NS"
"DHAP/D-GA3P",0.145581371476645,0.0872654481820636,0.130194418658724,"NS"
"Phosphotyrosine",0.145047377987236,0.088444126099997,0.130897306627996,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.14157083460012,0.0964311833928869,0.141585467680032,"NS"
"Lactate",-0.140681590211899,0.0985631817122047,0.143576288320928,"NS"
"Pipecolate",0.136090139915934,0.110169579543199,0.15922947043353,"NS"
"D-Leucic Acid",-0.125696258272708,0.140371475340032,0.201307929751209,"NS"
"4-Hydroxybenzoic Acid",0.124675191223921,0.143648804416844,0.204423298593201,"NS"
"2-isoPropylmalic Acid",-0.122302383333744,0.151488604217931,0.213934288399369,"NS"
"Orotate",-0.116926699921533,0.170436109861758,0.238081057167575,"NS"
"Glycerol-3-P",-0.116730083071876,0.171160976233987,0.238081057167575,"NS"
"2-Aminoadipate",0.116073204051432,0.173599243800977,0.239670597784931,"NS"
"Creatine",-0.113398768039621,0.183791724736285,0.251862733897873,"NS"
"Arabitol/Xylitol",0.110150121455517,0.196753809096402,0.267643049138488,"NS"
"Glycerophosphocholine",0.106079258954666,0.213914866766444,0.288863141253957,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.105585482548142,0.216066879485721,0.289654874672887,"NS"
"Glutamic acid",-0.104618038276534,0.220327862736765,0.293242119469795,"NS"
"Pyroglutamic Acid",0.103487491391007,0.225382332828946,0.297826654095393,"NS"
"Leucine /D-Norleucine",-0.100719215519133,0.238103010702382,0.312172292916427,"NS"
"Cholesteryl Sulfate",-0.100397478856058,0.239613327535852,0.312172292916427,"NS"
"Sucrose",0.0973610890982884,0.254196341337803,0.327726710375484,"NS"
"Niacinamide",-0.0971778779429263,0.255095385373349,0.327726710375484,"NS"
"Homocitrulline",-0.0947469787108045,0.267231316351842,0.340950300173039,"NS"
"Inosine",-0.0935203576828313,0.273501752527461,0.34656043984644,"NS"
"Trigonelline",0.0898650717051188,0.292773675792786,0.368456666814051,"NS"
"N-Ac-Alanine",-0.088966890187368,0.297643926248936,0.37205490781117,"NS"
"3-Aminoisobutyrate",-0.0863795911884737,0.311970846002197,0.387346352418835,"NS"
"Oxidized Glutathione",0.0860042317482196,0.31408609081943,0.387372845343964,"NS"
"Agmatine",0.0812318045792746,0.341790878965286,0.416254956172545,"NS"
"NAD",0.0811960560611552,0.342004072098524,0.416254956172545,"NS"
"N-Ac-L-Glutamine",0.0770179480059459,0.367499014286496,0.444361553222234,"NS"
"DCDP",0.0758092012370325,0.375087762037006,0.450592441408092,"NS"
"Histidine",0.0754047961258063,0.377647924252483,0.450741070881996,"NS"
"Dimethylarginine (A/SDMA)",0.0719818755158702,0.399741316412685,0.474052202156069,"NS"
"Allantoin",-0.0712534994591866,0.404539948261781,0.47668720018108,"NS"
"5'-Methylthioadenosine",-0.0705943861563595,0.408911499604483,0.478788781182464,"NS"
"2-Hydroxyglutarate",-0.070053689819803,0.412518328146525,0.479974155390611,"NS"
"Sorbitol",0.0673077567717537,0.431121383606087,0.494265128937423,"NS"
"Reduced Glutathione",-0.0669100545076749,0.433855046342874,0.494265128937423,"NS"
"Cystine",0.0667246090699304,0.435133111595617,0.494265128937423,"NS"
"Hypotaurine",0.0666732205751337,0.435487654144865,0.494265128937423,"NS"
"ADP",0.065886753176506,0.440934221867767,0.497395311253273,"NS"
"Proline",0.0628436605715889,0.462368683511688,0.518413372422196,"NS"
"2'-Deoxycytidine",-0.0611120917251786,0.474817303609434,0.529163862456297,"NS"
"Aminolevulinate",0.0547488554999188,0.522087420790446,0.578360316444506,"NS"
"Serine",-0.0511181466284134,0.550091724049522,0.605755767554534,"NS"
"Acetylcholine",0.0432333641006949,0.613314858647924,0.671380170709266,"NS"
"Phosphoserine",0.0424424281373023,0.619828191735588,0.67197156412864,"NS"
"n-Glycylproline",0.0422860283705298,0.621119661978365,0.67197156412864,"NS"
"UDP-Glucose",0.0416783035624994,0.626148886146749,0.673209910923955,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",-0.0412694298865083,0.629542241026185,0.673209910923955,"NS"
"7-Methylguanine",-0.0366712767433956,0.668223090786218,0.710467079284198,"NS"
"N-AcetylGlycine",-0.0321535577660517,0.707096205303223,0.747501702749121,"NS"
"5-Methylcytidine",0.0296198815443366,0.729240702506621,0.766531420248437,"NS"
"Pseudouridine",-0.0291328079849592,0.733524146710878,0.766677780460523,"NS"
"gamma-Aminobutyrate",0.0222110011640831,0.795225435998094,0.826498346402514,"NS"
"Guanosine",-0.0198694732272599,0.816409742653083,0.843775432350952,"NS"
"GMP",0.0170207631896173,0.842361207797552,0.865760130236373,"NS"
"Argininosuccinate",-0.0143061100949225,0.867250450016523,0.886416205817993,"NS"
"Phosphorylcholine",-0.0125790098132771,0.883154968970394,0.897712468458917,"NS"
"Xanthosine",-0.00941526595970689,0.912405895608521,0.922377544740855,"NS"
"Thiamine",-0.00789371965724833,0.926517995551962,0.931553419440831,"NS"
"Glycine",-3.12799533545079e-05,0.999708409123654,0.999708409123654,"NS"
