"COMPOUND","mass_R_spearman","mass_p","mass_adj","sig_mass"
"Aspartic Acid",-0.392809482597097,2.39060077488363e-05,9.61437268159719e-05,"SIG"
"cGMP",0.390640928483695,2.67489822223886e-05,0.000104410158236721,"SIG"
"Indole-2-Carboxylic Acid",-0.390395344364015,2.70902032181763e-05,0.000104410158236721,"SIG"
"Deoxyguanosine",0.386725483556719,3.27006963303035e-05,0.000123461812675636,"SIG"
"Myristic Acid",-0.385678275801101,3.44909882271544e-05,0.000127616656440471,"SIG"
"Maleic Acid",-0.379686950013433,4.66276498602963e-05,0.000169139514199114,"SIG"
"Tyrosine",-0.377425722647321,5.2167848967237e-05,0.000185597154979593,"SIG"
"Guanine",0.372653050132782,6.59394975686029e-05,0.000230166170758331,"SIG"
"Imidazoleacetic Acid",0.372236020495589,6.72915805791384e-05,0.000230535970502604,"SIG"
"Uridine",0.369520694191201,7.6747439609325e-05,0.000258150478685911,"SIG"
"Alpha-Ketoglutaric Acid",0.362287546817225,0.000108322947547293,0.000357852594575879,"SIG"
"Phenylacetic Acid",-0.358738161238451,0.000127899028401308,0.000415110881653368,"SIG"
"S-Methylcysteine",-0.358047745505766,0.000132069702828367,0.000419043436059006,"SIG"
"Cholecalciferol",-0.357792894060815,0.000133640879608007,0.000419043436059006,"SIG"
"4-Guanidinobutanoate",0.3569681021117,0.000138845590674383,0.00042371420276782,"SIG"
"1-Methyladenosine",-0.356833725895271,0.000139711169561281,0.00042371420276782,"SIG"
"2-isoPropylmalic Acid",-0.355624339947412,0.000147729960707383,0.000440807140820417,"SIG"
"Cysteinyl-Glycine (Cys-Gly)",0.343567549769907,0.000254599005830989,0.00074763200124973,"SIG"
"Riboflavin",-0.334022204740829,0.000385806642882305,0.00111522232708166,"SIG"
"cAMP",0.333016699948931,0.000402763129284986,0.00114401642938972,"SIG"
"Retinol",-0.332706244552355,0.000408135591025522,0.00114401642938972,"SIG"
"Citrulline",-0.330709135956465,0.000444303703280653,0.00121304630797961,"SIG"
"Hydrocinnamic Acid",-0.330625730029026,0.000445876480770885,0.00121304630797961,"SIG"
"Ribose-5-P",0.32402739443611,0.000587835079112995,0.00157185137768276,"SIG"
"Methionine",0.323744741015347,0.000594754575339424,0.00157185137768276,"SIG"
"SAH",0.32187737497325,0.000642379121227874,0.00167380475249516,"SIG"
"Neopterin",-0.319384464475365,0.000711410430078294,0.00182792957728451,"SIG"
"Acetylcarnitine",0.306855040709041,0.00117287975092315,0.00297236649206551,"SIG"
"Ribulose 5-Phosphate",0.305233258786625,0.00124932880433152,0.00312332201082879,"SIG"
"2-Aminoisobutyric Acid",-0.304820862812068,0.00126947876459043,0.00313138095265638,"SIG"
"Azelaic Acid",-0.297698923341343,0.00166747923889306,0.00401000972993669,"SIG"
"Threonine",-0.297416269920579,0.00168538878809716,0.00401000972993669,"SIG"
"Glutaric Acid",-0.297332863993141,0.00169070680505439,0.00401000972993669,"SIG"
"5,6-Dihydrouracil",0.295127240578655,0.00183697876237511,0.00429397018796538,"SIG"
"Carnosine",0.294839953495255,0.00185685197317422,0.00429397018796538,"SIG"
"Nicotinic Acid",-0.287356588338964,0.00244819001691768,0.00559154510036754,"SIG"
"Cystathionine",-0.278404352127227,0.00337543867580055,0.0075269379881004,"SIG"
"Sedoheptulose 7-Phosphate",0.278274609573433,0.0033909305963893,0.0075269379881004,"SIG"
"L-2-Aminobutyric Acid",0.27805219376693,0.00341763670811045,0.0075269379881004,"SIG"
"Deoxycarnitine",0.274020907274067,0.00393553984737736,0.00856558672664485,"SIG"
"2-Hydroxyphenylacetate",-0.270758808778693,0.00440491190863383,0.00947568259415416,"SIG"
"N-Ac-Arginine",-0.266393898576076,0.00511100235565109,0.0108682233999477,"NS"
"6-Methyladenosine",-0.263743443548585,0.00558741175694629,0.0116377133272848,"NS"
"Adenine",-0.263683205934323,0.00559868370880186,0.0116377133272848,"NS"
"FAD",-0.261658295362621,0.00598955763616341,0.0123118684743359,"NS"
"Carnitine",0.260022612452298,0.00632280289857552,0.0128540498487524,"NS"
"Suberic Acid",-0.254105425266797,0.00766987751606482,0.0154231232659999,"NS"
"Xanthurenic Acid",0.24822530738238,0.00925368611746146,0.0184078702336599,"NS"
"Adipic Acid / 3-Methylglutaric Acid",-0.246798139290654,0.00967898632844611,0.0190490688378993,"NS"
"Phosphotyrosine",0.243670417011708,0.0106715899487675,0.0207815172686526,"NS"
"iso-Leucine /allo-isoLeucine",-0.240816080828256,0.011654187431726,0.0224585903632221,"NS"
"Histidine",0.240088595794486,0.011916936050718,0.0227281770039467,"NS"
"Cytidine",-0.238388041607267,0.0125514193250722,0.0236940058687587,"NS"
"3-Aminoisobutyrate",-0.236136081566426,0.0134368923118019,0.0251093442190237,"NS"
"Sorbitol",0.235255685665686,0.013797585202272,0.0255255326242031,"NS"
"AMP",0.230668359656566,0.0158165520830727,0.0289709122313707,"NS"
"Adenosine",-0.230126221128216,0.0160712984145482,0.0291489235950139,"NS"
"Ornithine",0.227869627424739,0.017170228835877,0.0308397314042451,"NS"
"o-Phosphoethanolamine",-0.225571330757544,0.0183556790980413,0.032651929164785,"NS"
"n-Glycylproline",0.225066261530277,0.0186254570613822,0.032816281489102,"NS"
"Lysine",0.224079291388921,0.0191625214044024,0.0334440232057967,"NS"
"Anthranilic Acid",0.222564083707121,0.020012987411499,0.0346018941226852,"NS"
"Creatine",-0.219779252463201,0.0216609674702823,0.0371044350185391,"NS"
"Uracil",-0.218097232926523,0.022711703115961,0.0385473860225026,"NS"
"IMP",0.216776639075413,0.0235669792611953,0.0396353742120103,"NS"
"DHAP/D-GA3P",0.215585787778096,0.0243617083024005,0.0406028471706676,"NS"
"7-Methylguanine",-0.213699887085458,0.0256671090669092,0.042396564083734,"NS"
"Dimethylglycine",-0.21089188752836,0.0277210666403995,0.0453840471546364,"NS"
"NADH",-0.209140363052151,0.0290717359641104,0.0471778171347406,"NS"
"Tryptophan",-0.205947769496309,0.0316775009522007,0.0509594580535402,"NS"
"Glucoronate",-0.20469668058473,0.0327511530332257,0.0519392371204852,"NS"
"Cholesteryl Sulfate",-0.204585472681479,0.0328480580707934,0.0519392371204852,"NS"
"3HBA",-0.204038700490493,0.0333280352233321,0.0522515806467495,"NS"
"Allantoin",-0.203060997674408,0.034201049712944,0.0531696991335683,"NS"
"UDP-GlcNAc",0.201745037485933,0.0354064562961403,0.0545849534565496,"NS"
"betaAlanine",0.200155691201965,0.0369097377804789,0.0564322437139553,"NS"
"Putrescine",0.196703612538537,0.0403601327082273,0.0612018405821479,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.196170741335457,0.0409160399989558,0.0615403853642832,"NS"
"N-Acetyl-Aspartate (NAA)",-0.191379534170376,0.0462075739308086,0.0689387191709645,"NS"
"D-Leucic Acid",-0.187681871387267,0.0506694010810416,0.0749907135999416,"NS"
"N2,N2-Dimethylguanosine",0.187130465533646,0.0513642868685887,0.0754158180213406,"NS"
"Glutamic acid",-0.183201119618763,0.056546999838224,0.0823716139375704,"NS"
"3-Hydroxypropionic Acid",0.179058625222649,0.0624677814795239,0.0902854654196243,"NS"
"NAD",0.176106982123852,0.0669875095762329,0.0960673586945975,"NS"
"Margaric Acid",-0.172807814327394,0.0723497844861776,0.102959308691868,"NS"
"N-Ac-Alanine",-0.171070190839091,0.0753103234804461,0.106354273617424,"NS"
"Lactate",-0.154898708241284,0.107776387734877,0.151050240386001,"NS"
"Valine",-0.154310233086579,0.109137012748358,0.151807122995836,"NS"
"Citraconic Acid",-0.149032491344773,0.121945832373327,0.168358052157206,"NS"
"Argininosuccinate",0.148425481539526,0.123490370944675,0.169227545368629,"NS"
"Pseudouridine",-0.147355105470731,0.126250574352444,0.171737913641193,"NS"
"Succinate",-0.143189442761439,0.137445230578654,0.185601223774095,"NS"
"UDP-Glucose",0.13933886911136,0.148449901779157,0.199008926298145,"NS"
"Niacinamide",-0.136651344782784,0.156515103741035,0.208311469007853,"NS"
"Acetylcholine",0.127272811608584,0.187229905349055,0.247410946354108,"NS"
"Lactose/Trehalose",-0.123046911285031,0.202420068747398,0.265505734368873,"NS"
"Dimethylarginine (A/SDMA)",0.122676218274193,0.203793590704757,0.265505734368873,"NS"
"5-Methylcytidine",-0.117657961639974,0.223049008967355,0.288559906706019,"NS"
"N-Ac-L-Glutamine",0.116309565813051,0.228434837330297,0.293475311847951,"NS"
"4-Pyridoxic Acid",-0.109317368896119,0.257826265563087,0.328950752614973,"NS"
"Oxidized Glutathione",0.107714121624245,0.264914448461746,0.33567926688646,"NS"
"Phosphorylcholine",-0.102756102604287,0.287666577807069,0.359665178108759,"NS"
"Agmatine",0.102742201616381,0.287732142487007,0.359665178108759,"NS"
"Glycerol-3-P",-0.0989333309300204,0.306071640580289,0.380021835619822,"NS"
"Pyroglutamic Acid",-0.0984328953653891,0.308536761313774,0.380528672286987,"NS"
"ADP",0.0959260838795973,0.321079469690995,0.393375509224067,"NS"
"Serine",-0.0939243416210722,0.331327570714527,0.40326053014597,"NS"
"N-Ac-Phenylalanine",-0.0848655311687192,0.380273981025451,0.459808408429467,"NS"
"Inosine",-0.0808574129890336,0.403259828683295,0.484435508483179,"NS"
"UMP",-0.0790317499106565,0.413995945801748,0.49412419337628,"NS"
"Proline",0.0764739681358745,0.429314486221414,0.5091229484036,"NS"
"Phenylalanine",-0.0723870776913858,0.454452626385921,0.53550150242927,"NS"
"Thiamine",0.0664420885300717,0.492437228946281,0.576587894652291,"NS"
"2-Hydroxyglutarate",-0.0646766630659559,0.504031809349172,0.58645210521759,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.0613543269563205,0.526230564776421,0.608454090522737,"NS"
"Pipecolate",0.0575547235952313,0.552208179772384,0.628559664188989,"NS"
"Sucrose",-0.0574527830172508,0.55291359616253,0.628559664188989,"NS"
"Homocitrulline",-0.0573230404634575,0.553812028447595,0.628559664188989,"NS"
"Leucine /D-Norleucine",0.0536948826198808,0.579217313512995,0.653385384145756,"NS"
"4-Hydroxybenzoic Acid",0.0529488629355694,0.584507216283099,0.65511954229709,"NS"
"2-Aminoadipate",0.0524808630093865,0.587836994709821,0.65511954229709,"NS"
"Orotate",-0.0510397939297539,0.598143983135432,0.662614592096137,"NS"
"Arabitol/Xylitol",0.0437927455678714,0.651156884438555,0.716776861965892,"NS"
"gamma-Aminobutyrate",-0.042949418968215,0.657447349489965,0.716776861965892,"NS"
"Aminolevulinate",0.0427872407759734,0.658659819103793,0.716776861965892,"NS"
"Phosphoserine",-0.0345161529716511,0.721607753368024,0.780686750719792,"NS"
"2'-Deoxycytidine",0.0331955591205408,0.731846205261311,0.787160162635712,"NS"
"Glycerophosphocholine",-0.0289789261222588,0.764845694457083,0.814207404720152,"NS"
"Xanthosine",-0.0288584508937364,0.765795072547602,0.814207404720152,"NS"
"Glycine",-0.0256890256510718,0.790891594984095,0.836085400411757,"NS"
"Reduced Glutathione",0.0237938576331626,0.806002735933279,0.847218784929867,"NS"
"Cystine",-0.022528867733678,0.816129411176745,0.853016616201683,"NS"
"Hypotaurine",0.0191045910460622,0.843689613891808,0.876868418932497,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",-0.0158656608638654,0.86993347269097,0.896304622811121,"NS"
"DCDP",-0.0156015420936433,0.872080173545956,0.896304622811121,"NS"
"N-AcetylGlycine",0.014660908578642,0.879732882759433,0.89917449342815,"NS"
"GMP",0.0138036809910791,0.88671670443909,0.901332913852921,"NS"
"Trigonelline",-0.0097816618234871,0.919591274416305,0.929641452278778,"NS"
"Guanosine",-0.00651029600284196,0.94643316826934,0.951576826792543,"NS"
"5'-Methylthioadenosine",1.39009879064241e-05,0.99988553758033,0.99988553758033,"NS"
