sample,modifier,reptype,standard,conc,volume,absorbance,wavelength,incubationTime,assaydate,assayer,plate
599,a,bio,Sample,,20ul,0.403,540,60,1/17/2023,LH,7-D
599,b,bio,Sample,,20ul,0.438,540,60,1/17/2023,LH,7-D
599,c,bio,Sample,,20ul,0.426,540,60,1/17/2023,LH,7-D
599,d,bio,Sample,,20ul,0.427,540,60,1/17/2023,LH,7-D
543,a,bio,Sample,,20ul,0.191,540,60,1/17/2023,LH,7-D
543,b,bio,Sample,,20ul,0.167,540,60,1/17/2023,LH,7-D
836,,,Sample,,20ul,0.405,540,60,1/17/2023,LH,7-D
543,c,bio,Sample,,20ul,0.2,540,60,1/17/2023,LH,7-D
542,a,bio,Sample,,20ul,0.297,540,60,1/17/2023,LH,7-D
542,b,bio,Sample,,20ul,0.316,540,60,1/17/2023,LH,7-D
727,a,bio,Sample,,20ul,0.354,540,60,1/17/2023,LH,7-D
727,b,bio,Sample,,20ul,0.289,540,60,1/17/2023,LH,7-D
659,a,bio,Sample,,20ul,0.434,540,60,1/17/2023,LH,7-D
659,b,bio,Sample,,20ul,0.429,540,60,1/17/2023,LH,7-D
736,a,bio,Sample,,20ul,0.536,540,60,1/17/2023,LH,7-D
736,b,bio,Sample,,20ul,0.414,540,60,1/17/2023,LH,7-D
660,a,bio,Sample,,20ul,0.173,540,60,1/17/2023,LH,7-D
660,b,bio,Sample,,20ul,0.174,540,60,1/17/2023,LH,7-D
740,a,bio,Sample,,20ul,0.231,540,60,1/17/2023,LH,7-D
740,b,bio,Sample,,20ul,0.131,540,60,1/17/2023,LH,7-D
538,a,bio,Sample,,20ul,0.424,540,60,1/17/2023,LH,7-D
720,a,bio,Sample,,20ul,0.425,540,60,1/17/2023,LH,7-D
884,a,bio,Sample,,20ul,0.198,540,60,1/17/2023,LH,7-D
884,b,bio,Sample,,20ul,0.113,540,60,1/17/2023,LH,7-D
885,a,bio,Sample,,20ul,0.174,540,60,1/17/2023,LH,7-D
885,b,bio,Sample,,20ul,0.278,540,60,1/17/2023,LH,7-D
526,a,bio,Sample,,20ul,0.408,540,60,1/17/2023,LH,7-D
728,a,bio,Sample,,20ul,0.246,540,60,1/17/2023,LH,7-D
526,b,bio,Sample,,20ul,0.542,540,60,1/17/2023,LH,7-D
526,c,bio,Sample,,20ul,0.59,540,60,1/17/2023,LH,7-D
728,b,bio,Sample,,20ul,0.556,540,60,1/17/2023,LH,7-D
728,c,bio,Sample,,20ul,0.631,540,60,1/17/2023,LH,7-D
538,b,bio,Sample,,20ul,0.34,540,60,1/17/2023,LH,7-D
538,c,bio,Sample,,20ul,0.317,540,60,1/17/2023,LH,7-D
720,b,bio,Sample,,20ul,0.388,540,60,1/17/2023,LH,7-D
720,c,bio,Sample,,20ul,0.398,540,60,1/17/2023,LH,7-D
716,a,bio,Sample,,20ul,0.379,540,60,1/17/2023,LH,7-D
716,b,bio,Sample,,20ul,0.429,540,60,1/17/2023,LH,7-D
596,a,bio,Sample,,20ul,0.4,540,60,1/17/2023,LH,7-D
596,b,bio,Sample,,20ul,0.441,540,60,1/17/2023,LH,7-D
595,a,bio,Sample,,20ul,0.754,540,60,1/17/2023,LH,7-D
595,b,bio,Sample,,20ul,0.829,540,60,1/17/2023,LH,7-D
717,a,bio,Sample,,20ul,0.74,540,60,1/17/2023,LH,7-D
717,b,bio,Sample,,20ul,0.636,540,60,1/17/2023,LH,7-D
