sample,modifier,reptype,standard,conc,volume,absorbance,wavelength,incubationTime,assaydate,assayer,plate
762,a,bio,Sample,,20ul,0.436,540,60,1/17/2023,LH,7-B
,,,Standard,0.0625,20ul,0.051,540,60,1/17/2023,LH,7-B
545,b,bio,Sample,,20ul,0.22,540,60,1/17/2023,LH,7-B
818,b,bio,Sample,,20ul,0.335,540,60,1/17/2023,LH,7-B
867,sampleplate,bio,Sample,,20ul,0.153,540,60,1/17/2023,LH,7-B
935,b,bio,Sample,,20ul,0.319,540,60,1/17/2023,LH,7-B
427,b,bio,Sample,,20ul,0.402,540,60,1/17/2023,LH,7-B
536,b,bio,Sample,,20ul,0.501,540,60,1/17/2023,LH,7-B
706,c,bio,Sample,,20ul,0.372,540,60,1/17/2023,LH,7-B
761,b,bio,Sample,,20ul,0.091,540,60,1/17/2023,LH,7-B
762,b,bio,Sample,,20ul,0.515,540,60,1/17/2023,LH,7-B
925,a,bio,Sample,,20ul,0.272,540,60,1/17/2023,LH,7-B
,,,Standard,0.125,20ul,0.106,540,60,1/17/2023,LH,7-B
805,a,bio,Sample,,20ul,0.144,540,60,1/17/2023,LH,7-B
900,a,bio,Sample,,20ul,0.578,540,60,1/17/2023,LH,7-B
920,sampleplate,bio,Sample,,20ul,0.391,540,60,1/17/2023,LH,7-B
431,a,bio,Sample,,20ul,0.554,540,60,1/17/2023,LH,7-B
529,a,bio,Sample,,20ul,0.333,540,60,1/17/2023,LH,7-B
555,a,bio,Sample,,20ul,0.267,540,60,1/17/2023,LH,7-B
593,a,bio,Sample,,20ul,0.219,540,60,1/17/2023,LH,7-B
695,a,bio,Sample,,20ul,0.34,540,60,1/17/2023,LH,7-B
754,a,bio,Sample,,20ul,0.258,540,60,1/17/2023,LH,7-B
794,a,bio,Sample,,20ul,0.254,540,60,1/17/2023,LH,7-B
,,,Standard,0.25,20ul,0.221,540,60,1/17/2023,LH,7-B
805,b,bio,Sample,,20ul,0.17,540,60,1/17/2023,LH,7-B
900,b,bio,Sample,,20ul,0.561,540,60,1/17/2023,LH,7-B
920,sampleplate,bio,Sample,,20ul,0.556,540,60,1/17/2023,LH,7-B
431,b,bio,Sample,,20ul,0.725,540,60,1/17/2023,LH,7-B
529,b,bio,Sample,,20ul,0.241,540,60,1/17/2023,LH,7-B
555,b,bio,Sample,,20ul,0.324,540,60,1/17/2023,LH,7-B
593,b,bio,Sample,,20ul,0.308,540,60,1/17/2023,LH,7-B
695,b,bio,Sample,,20ul,0.363,540,60,1/17/2023,LH,7-B
754,b,bio,Sample,,20ul,0.485,540,60,1/17/2023,LH,7-B
794,b,bio,Sample,,20ul,0.226,540,60,1/17/2023,LH,7-B
,,,Standard,0.5,20ul,0.472,540,60,1/17/2023,LH,7-B
437,a,bio,Sample,,20ul,0.377,540,60,1/17/2023,LH,7-B
628,sampleplate,bio,Sample,,20ul,0.411,540,60,1/17/2023,LH,7-B
925,,,Sample,,20ul,0.378,540,60,1/17/2023,LH,7-B
434,a,bio,Sample,,20ul,0.675,540,60,1/17/2023,LH,7-B
532,a,bio,Sample,,20ul,0.284,540,60,1/17/2023,LH,7-B
630,a,bio,Sample,,20ul,0.423,540,60,1/17/2023,LH,7-B
685,a,bio,Sample,,20ul,0.323,540,60,1/17/2023,LH,7-B
692,a,bio,Sample,,20ul,0.329,540,60,1/17/2023,LH,7-B
779,a,bio,Sample,,20ul,0.351,540,60,1/17/2023,LH,7-B
892,a,bio,Sample,,20ul,0.278,540,60,1/17/2023,LH,7-B
,,,Standard,1,20ul,0.942,540,60,1/17/2023,LH,7-B
437,b,bio,Sample,,20ul,0.467,540,60,1/17/2023,LH,7-B
628,sampleplate,bio,Sample,,20ul,0.377,540,60,1/17/2023,LH,7-B
434,b,bio,Sample,,20ul,0.733,540,60,1/17/2023,LH,7-B
532,b,bio,Sample,,20ul,0.301,540,60,1/17/2023,LH,7-B
685,b,bio,Sample,,20ul,0.382,540,60,1/17/2023,LH,7-B
692,b,bio,Sample,,20ul,0.349,540,60,1/17/2023,LH,7-B
706,a,bio,Sample,,20ul,0.569,540,60,1/17/2023,LH,7-B
779,b,bio,Sample,,20ul,0.411,540,60,1/17/2023,LH,7-B
892,b,bio,Sample,,20ul,0.229,540,60,1/17/2023,LH,7-B
925,b,bio,Sample,,20ul,0.424,540,60,1/17/2023,LH,7-B
